subject;predicate;object
Byzantine Empire;had;expansionist policies
Byzantine-Sassanid War;involved;Byzantine Empire
Byzantine-Sassanid War;began with;Khosrau II
Byzantine-Sassanid War;involved;Sassanid Empire
Khosrau II;sought revenge for;Emperor Maurice
Sassanid Empire;had;early successes
Emperor Heraclius;led;successful campaigns
Emperor Heraclius;faced;challenges
Emperor Heraclius;defeated;Sassanids
Emperor Heraclius;secured;peace
Khosrau II;was overthrown by;Heraclius
Heraclius;returned to;Constantinople
Byzantines;thrived from;330 C.E.
Constantine;moved capital to;Byzantium
Constantine;moved capital to;Constantinople
Byzantines;known for;religious buildings and art
Byzantines;masterpiece was;Justinian's Hagia Sophia
Turks;conquered;Istanbul in 1453
Turks;settled in;Anatolia
Turks;date back to;2,000 B.C.E.
Turks;flourished with;monumental structures and cultural figures like Rumi
Seljuk State;part of;Great Seljuk Empire
Seljuk State;flourished with;monumental structures and cultural figures like Rumi
Seljuk Empire;collapsed leading to rise of;Ottoman Empire
Ottoman Empire;captured;Constantinople in 1453
Ottoman Empire;ended;Byzantine reign
Emperor Justinian I;born in;482 CE
Emperor Justinian I;known for;military campaigns
Emperor Justinian I;known for;construction projects
Emperor Justinian I;known for;completion of the Codex Iustinianus
Emperor Justinian I;involved in;close ties to Emperor Justin I
Emperor Justinian I;began;military career in the east
Emperor Justinian I;successfully reconquered;Africa from the Vandals
Emperor Justinian I;successfully reconquered;Italy from the Goths
Emperor Justinian I;facing;challenges such as the Gothic War
Emperor Justinian I;facing;challenges such as the Justinianic Plague
Emperor Justinian I;reign lasted;almost 40 years
Procopius;documented;life and achievements of Justinian I
Procopius;highlighted;legal reforms of Justinian I
Procopius;highlighted;conquests of Justinian I
Procopius;highlighted;architectural projects of Justinian I
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
Byzantine Empire;dominance in;Balkans
Byzantine Empire;dominance in;era
Byzantine Empire;dominance in;region
By
