",summary_method,summary_percentage,ranking,ranking_how,ranking_perc_threshold,entity,relation,meteor_pr,meteor_re,meteor_f1,rouge-2_pr,rouge-2_re,rouge-2_f1"
"35,lex-rank,15,page\_rank,all,30.0,dbpedia\_spotlight,rebel\_hf,30.1,23.2,25.6,4.7,17.6,7.0"
"95,lex-rank,15,page\_rank,all,30.0,dbpedia\_spotlight,corenlp,27.4,22.9,24.0,2.9,13.2,3.7"
"2,lex-rank,15,page\_rank,all,30.0,nps,rebel\_ft,21.6,22.0,21.4,7.5,9.9,7.7"
"22,lex-rank,15,page\_rank,all,30.0,nps,rebel\_hf,25.5,21.6,22.9,5.1,12.7,6.4"
"84,lex-rank,15,page\_rank,all,30.0,nps,corenlp,23.5,19.5,20.5,1.7,11.2,2.6"
"42,lex-rank,15,word2vec,all,15.0,dbpedia\_spotlight,rebel\_hf,24.5,21.6,22.3,5.4,12.0,6.9"
"131,lex-rank,15,word2vec,all,15.0,dbpedia\_spotlight,rebel\_ft,21.4,20.8,20.2,6.9,8.1,7.0"
"139,lex-rank,15,word2vec,all,15.0,dbpedia\_spotlight,corenlp,22.5,22.4,21.2,4.5,9.4,4.1"
"19,lex-rank,15,word2vec,all,15.0,nps,rebel\_ft,13.3,17.8,14.6,7.1,4.5,4.9"
"63,lex-rank,15,word2vec,all,15.0,nps,rebel\_hf,19.2,22.1,20.1,6.9,7.6,6.1"
"141,lex-rank,15,word2vec,all,15.0,nps,corenlp,15.9,18.9,15.6,4.0,5.7,2.9"
"4,lex-rank,15,word2vec,all,30.0,dbpedia\_spotlight,rebel\_hf,28.4,20.6,23.2,4.1,15.9,6.1"
"48,lex-rank,15,word2vec,all,30.0,dbpedia\_spotlight,corenlp,27.6,21.7,23.5,2.2,13.6,3.4"
"78,lex-rank,15,word2vec,all,30.0,dbpedia\_spotlight,rebel\_ft,25.6,21.7,22.4,6.0,12.9,7.6"
"34,lex-rank,15,word2vec,all,30.0,nps,corenlp,22.7,17.9,19.2,2.9,9.4,3.1"
"65,lex-rank,15,word2vec,all,30.0,nps,rebel\_ft,17.5,18.6,17.3,5.2,7.2,5.7"
"80,lex-rank,15,word2vec,all,30.0,nps,rebel\_hf,23.6,20.0,21.1,4.9,11.5,6.2"
"18,lex-rank,30,None,,None,dbpedia\_spotlight,rebel\_hf,39.5,18.8,25.0,1.3,28.6,2.5"
"41,lex-rank,30,None,,None,dbpedia\_spotlight,rebel\_ft,38.9,20.0,26.1,2.2,27.5,4.0"
"46,lex-rank,30,None,,None,dbpedia\_spotlight,corenlp,44.0,20.9,27.8,1.2,31.7,2.2"
"53,lex-rank,30,None,,None,nps,corenlp,44.6,15.7,22.9,0.8,36.3,1.5"
"96,lex-rank,30,None,,None,nps,rebel\_hf,38.7,18.0,24.0,1.2,28.2,2.3"
"137,lex-rank,30,None,,None,nps,rebel\_ft,38.6,20.3,26.2,2.3,28.2,4.2"
"0,lex-rank,30,page\_rank,all,15.0,dbpedia\_spotlight,rebel\_ft,26.4,23.1,24.3,6.3,13.1,8.0"
"77,lex-rank,30,page\_rank,all,15.0,dbpedia\_spotlight,rebel\_hf,29.7,23.1,25.6,4.3,17.1,6.6"
"125,lex-rank,30,page\_rank,all,15.0,dbpedia\_spotlight,corenlp,26.9,25.3,25.3,3.8,14.1,4.8"
"8,lex-rank,30,page\_rank,all,15.0,nps,corenlp,22.9,18.7,19.7,2.5,10.8,3.5"
"123,lex-rank,30,page\_rank,all,15.0,nps,rebel\_hf,24.3,22.8,22.8,5.5,12.6,6.8"
"124,lex-rank,30,page\_rank,all,15.0,nps,rebel\_ft,21.1,23.0,21.3,7.7,9.4,7.4"
"10,lex-rank,30,page\_rank,all,30.0,dbpedia\_spotlight,corenlp,35.2,24.7,27.9,2.4,21.7,3.8"
"86,lex-rank,30,page\_rank,all,30.0,dbpedia\_spotlight,rebel\_hf,32.6,22.0,25.8,3.0,22.1,5.1"
"101,lex-rank,30,page\_rank,all,30.0,dbpedia\_spotlight,rebel\_ft,31.4,23.1,26.0,4.7,19.0,7.2"
"45,lex-rank,30,page\_rank,all,30.0,nps,rebel\_hf,30.6,21.1,24.3,3.0,19.0,4.9"
"51,lex-rank,30,page\_rank,all,30.0,nps,corenlp,30.0,19.0,22.4,1.4,17.6,2.4"
"52,lex-rank,30,page\_rank,all,30.0,nps,rebel\_ft,27.7,22.9,24.5,5.6,15.7,7.6"
"62,lex-rank,30,word2vec,all,15.0,dbpedia\_spotlight,rebel\_hf,27.6,21.1,23.3,4.1,16.5,6.2"
"90,lex-rank,30,word2vec,all,15.0,dbpedia\_spotlight,corenlp,28.4,22.1,24.2,2.5,16.5,3.8"
"133,lex-rank,30,word2vec,all,15.0,dbpedia\_spotlight,rebel\_ft,24.3,20.1,21.6,5.7,11.8,7.1"
"30,lex-rank,30,word2vec,all,15.0,nps,rebel\_ft,18.7,20.5,18.7,5.9,7.3,5.7"
"117,lex-rank,30,word2vec,all,15.0,nps,rebel\_hf,25.3,22.2,22.9,5.1,14.5,6.8"
"126,lex-rank,30,word2vec,all,15.0,nps,corenlp,23.6,15.5,18.1,1.5,11.1,2.4"
"67,lex-rank,30,word2vec,all,30.0,dbpedia\_spotlight,corenlp,36.1,24.5,28.3,1.9,22.1,3.3"
"118,lex-rank,30,word2vec,all,30.0,dbpedia\_spotlight,rebel\_hf,33.5,20.9,25.2,2.8,21.8,4.9"
"119,lex-rank,30,word2vec,all,30.0,dbpedia\_spotlight,rebel\_ft,30.7,21.0,24.5,3.9,17.2,6.1"
"20,lex-rank,30,word2vec,all,30.0,nps,rebel\_ft,27.3,21.2,23.5,4.9,13.1,6.4"
"57,lex-rank,30,word2vec,all,30.0,nps,corenlp,32.4,17.0,21.8,1.3,19.8,2.3"
"88,lex-rank,30,word2vec,all,30.0,nps,rebel\_hf,30.7,20.8,24.0,3.2,18.9,5.1"
