('condemned manâ€™s cell', 'part of', 'gaol')
('witch trial', 'facet of', 'fear of witchcraft')
('tying of a knot', 'facet of', 'marriage')
('bestial transformations', 'facet of', 'witchcraft')
('Malkin Tower', 'instance of', 'castle')
('PENDLE WITCHES', 'present in work', 'The History of The PENDLE WITCHES')
('Anglican Communion', 'part of', 'Church')
('William Shakespeare', 'notable work', 'Hamlet')
('London Eye', 'location', 'South Bank')
('The Three Ladies of London', 'characters', 'Hospitality')
('The Late Lancashire Witches', 'screenwriter', 'Nathaniel Tomkynsâ€™')
('Essex', 'instance of', 'county')
('Cymbeline', 'author', 'William Shakespeare')
('Greenwich', 'twinned administrative body', 'London')
('Chattoxes', 'location of formation', 'Pendle')
('snaffle', 'use', 'bridle')
('pigeon pie', 'has part', 'pigeon')
('Robin', 'work location', 'London')
('Lawrence', 'spouse', 'Parnell')
('galloping motion', 'subclass of', '3-D')
('horns', 'subclass of', 'mutton')
('The Late Lancashire Witches', 'main subject', 'Lancashire Witches')
('Hoarestones', 'part of', 'Forest of Pendle')
('News from Scotland', 'author', 'Agnes Sampson')
('The Wonderful Discovery of Elizabeth Sawyer, a Witch', 'publication date', '1621')
('The Late Lancashire Witchesâ €\x9d', 'author', 'Thomas Heywood')
('Pendle witches', 'instance of', 'witchcraft')
('Falstaff', 'creator', 'William Shakespeare')
('Ship Tavern', 'located in the administrative territorial entity', 'Greenwich')
('Old Demdike', 'place of death', 'Lancaster Castle')
('The PENDLE WITCHES', 'author', 'CHRISTINE GOODIER')
('Lancashire', 'capital', 'London')
('James VI and I', 'residence', 'Lancaster Castle')
('witches in Windsor', 'instance of', 'Image magic')
('Lancashire bagpipe', 'subclass of', 'piper')
('Pendle Witches', 'location', 'Lancaster Castle')
('The Wonderfull Discoverie of Witches in the Countie of Lancaster', 'author', 'Thomas Potts')
('Demdikes', 'residence', 'Malkin Tower')
('Richard Shuttleworth', 'position held', 'justices of the peace')
('Hospitality', 'present in work', 'The Three Ladies of London')
('Thomas Potts', 'notable work', 'The Wonderfull Discoverie of Witches in the Countie of Lancaster')
('Denmark', 'diplomatic relation', 'Scotland')
('Bantam', 'present in work', 'Shakestone')
('sirloin', 'subclass of', 'roast beef')
('Shakestone', 'spouse', 'Bantam')
('Bantam', 'sibling', 'Shakestone')
('Mary Spencer', 'position held', 'Bishop Bridgeman')
('Lancaster trials', 'location', 'London')
('witchcraft', 'has part', 'mere humans')
('The Late Lancashire Witchesâ€\x9d', 'author', 'Richard Brome')
('Elizabeth Nutter', 'spouse', 'Robert Nutter')
('fair shilling', 'has part', 'silver')
('Matthew Hopkins', 'occupation', 'Witchfinder General')
('North Berwick case', 'published in', 'News from Scotland')
('Thomas Heywood', 'influenced by', 'Richard Bromeâ€™s')
('William Shakespeare', 'notable work', 'Cymbeline')
('Lancaster in 1612', 'point in time', '1612')
('Malkin Tower', 'occupant', 'Demdike clan')
('Pendle witches', 'located in the administrative territorial entity', 'Lancashire')
('Anna of Denmark', 'country of citizenship', 'Denmark')
('Pendle witches', 'location', 'Lancashire')
('mutton', 'has part', 'horns')
('Lancaster trials', 'located in the administrative territorial entity', 'London')
('Agnes Sampson', 'place of birth', 'North Berwick')
('witchcraft', 'subclass of', 'magic')
('Pendle Hill', 'location', 'Lancashire')
('trials of the Lancashire witches', 'instance of', 'witch trials')
('London Dungeon', 'location', 'South Bank')
('Salmesbury witches', 'has part', 'Ellen Brierley')
('1604 act of James VI and I', 'publication date', '1604')
('The History of The PENDLE WITCHES', 'main subject', 'PENDLE WITCHES')
('his wedding', 'participant', 'Anna of Denmark')
('charity-refused model', 'discoverer or inventor', 'Alan Macfarlane')
('Bantam and Shakestone', 'characters', 'Shakestone')
('The Wonderful Discovery of Witches in the County of Lancaster', 'author', 'Thomas Pottsâ€™s')
('Parnell', 'uses', 'skimmington ride')
('sirloin', 'subclass of', 'meat')
('1634 trials', 'location', 'Lancaster')
('shilling', 'has part', 'silver')
('bridle', 'used by', 'horse')
('Pendle Witch Documentary', 'distributed by', 'World Documentary Channel')
('The Late Lancashire Witchesâ€\x9d', 'author', 'Thomas Heywood')
('witchcraft trials', 'start time', '1634')
('Hectorâ€™', 'owned by', 'Master Robinsonâ€™s dogs')
('witches', 'subclass of', 'witchcraft')
('cathedral', 'architectural style', 'Gothic')
('London', 'twinned administrative body', 'Greenwich')
('charity-refused model', 'discoverer or inventor', 'Reginald Scot')
('most notorious witch trial', 'main subject', 'witchcraft')
('The Late Lancashire Witches', 'main subject', 'bestial deviance')
('Bantam and Shakestone', 'characters', 'Bantam')
('Old Demdike', 'place of death', 'Lancaster Castle prison')
('The Pendle Witches', 'location', 'Lancaster Castle')
('John Law', 'occupation', 'pedlar')
('The Late Lancashire Witches', 'author', 'Nathaniel Tomkynsâ€™')
('mutton', 'subclass of', 'meat')
('The Witches of Lancashire', 'instance of', 'playhouse')
('first witch trials', 'location', 'Essex')
('The History of The PENDLE WITCHES', 'main subject', 'The PENDLE WITCHES')
('beer', 'different from', 'wine')
('the boy', 'instance of', 'witchcraft')
('Roger Nowell', 'position held', 'justice of the peace for Pendle')
('magic', 'different from', 'witchcraft')
('mirror world', 'opposite of', 'disorder')
('play', 'author', 'Thomas Heywood')
('Nathaniel Tomkynsâ€™', 'notable work', 'The Late Lancashire Witches')
('witchcraft', 'subclass of', 'performance')
('Summer Assize', 'location', 'Lancaster Castle')
('1634 witchcraft trials', 'point in time', '1634')
('The Witches of Lancashire', 'instance of', 'play')
('play', 'author', 'Richard Bromeâ€™s')
('Malkin Tower', 'owned by', 'Demdike clan')
('Parnell', 'spouse', 'Lawrence')
('mirror world', 'subclass of', 'disorder')
('Lawrence', 'father', 'Parnell')
('Salmesbury witches', 'has part', 'Jennet Brierley')
('Hamlet', 'author', 'William Shakespeare')
('Shakestone', 'sibling', 'Bantam')
('Robin', 'residence', 'London')
('bridle', 'part of', 'horse')
('Matthew Hopkins', 'position held', 'Witchfinder General')
('Bantam', 'present in work', 'Bantam and Shakestone')
('Mary Spencer', 'employer', 'Bishop Bridgeman')
('Pendle witches', 'instance of', 'witch trials')
('comedy is said to do', 'facet of', 'maleficia')
('condemned', 'location', 'gaol')
('mutton', 'subclass of', 'boiled')
('Falstaff', 'creator', 'William Rogers')
('1634 trials in Lancaster', 'point in time', '1634')
('Pendle Hill', 'located in the administrative territorial entity', 'Lancashire')
('Lancashire witches', 'point in time', '1634')
('snaffle', 'instance of', 'bridle')
('London Dungeon', 'characters', 'Jack the Ripper')
('The Late Lancashire Witches', 'main subject', 'liminal position')
('Chattoxes', 'location', 'Pendle')
('Demdikes', 'owner of', 'Malkin Tower')
('The Discovery of Witchcraft', 'author', 'Reginald Scot')
('Padiham', 'located in the administrative territorial entity', 'Lancaster')
('Shakestone', 'characters', 'Bantam')
('Trial of the Pendle Witches', 'located in the administrative territorial entity', 'Lancashire')
('Gunpowder Plot', 'participant', 'Sir Thomas Knyvet')
('Trial of the Pendle Witches', 'location', 'Lancashire')
('The Wonderful Discovery of Elizabeth Sawyer, a Witch', 'author', 'Henry Goodcoleâ€™s')
('Pendle Forest', 'located in the administrative territorial entity', 'Lancaster')
('Pendle witches', 'location', 'Lancaster Castle')
('Chattoxes', 'located in the administrative territorial entity', 'Pendle')
('Lancaster Assizes', 'located in the administrative territorial entity', 'Lancaster')
('Trial of the Pendle Witches', 'start time', '18th August 1612')
('London', 'different from', 'Lancashire')
('witch trial', 'facet of', 'witchcraft')
('Malkin Tower', 'owned by', 'Demdikes')
('Lancashire', 'located in the administrative territorial entity', 'England')
('Hoarestones', 'located in the administrative territorial entity', 'Forest of Pendle')
('Gothic', 'religion', 'Anglican')
('William Shakespeare', 'place of birth', 'Stratford-upon-Avon')
('Not I, gammerâ€™', 'instance of', 'perverse sexuality')
('The Late Lancashire Witches', 'author', 'Alison Findlay')
('Not I, gammerâ€™', 'instance of', 'sexual games')
